Year,Territorio histórico,Units,Value
2013,,Porcentaje,0.01
2010,,Porcentaje,0.07
2017,,Porcentaje,0.02
2012,,Porcentaje,0.0
2022,,Porcentaje,0.0
2018,,Porcentaje,0.01
2014,,Porcentaje,0.03
2011,,Porcentaje,0.09
2019,,Porcentaje,0.01
2021,,Porcentaje,0.02
2016,,Porcentaje,0.01
2020,,Porcentaje,0.0
2015,,Porcentaje,0.02
2015,Araba/Álava,Porcentaje,0.01
2016,Araba/Álava,Porcentaje,0.0
2013,Araba/Álava,Porcentaje,0.01
2019,Araba/Álava,Porcentaje,0.01
2010,Araba/Álava,Porcentaje,0.09
2017,Araba/Álava,Porcentaje,0.06
2014,Araba/Álava,Porcentaje,0.0
2018,Araba/Álava,Porcentaje,0.01
2020,Araba/Álava,Porcentaje,0.0
2022,Araba/Álava,Porcentaje,0.0
2011,Araba/Álava,Porcentaje,0.0
2021,Araba/Álava,Porcentaje,0.02
2012,Araba/Álava,Porcentaje,0.0
2011,Bizkaia,Porcentaje,0.04
2015,Bizkaia,Porcentaje,0.02
2017,Bizkaia,Porcentaje,0.01
2018,Bizkaia,Porcentaje,0.01
2019,Bizkaia,Porcentaje,0.01
2021,Bizkaia,Porcentaje,0.02
2022,Bizkaia,Porcentaje,0.0
2010,Bizkaia,Porcentaje,0.08
2012,Bizkaia,Porcentaje,0.0
2013,Bizkaia,Porcentaje,0.01
2014,Bizkaia,Porcentaje,0.03
2020,Bizkaia,Porcentaje,0.0
2016,Bizkaia,Porcentaje,0.0
2020,Gipuzkoa,Porcentaje,0.01
2021,Gipuzkoa,Porcentaje,0.02
2022,Gipuzkoa,Porcentaje,0.0
2010,Gipuzkoa,Porcentaje,0.04
2011,Gipuzkoa,Porcentaje,0.23
2012,Gipuzkoa,Porcentaje,0.0
2013,Gipuzkoa,Porcentaje,0.02
2014,Gipuzkoa,Porcentaje,0.06
2015,Gipuzkoa,Porcentaje,0.02
2016,Gipuzkoa,Porcentaje,0.01
2017,Gipuzkoa,Porcentaje,0.03
2018,Gipuzkoa,Porcentaje,0.0
2019,Gipuzkoa,Porcentaje,0.01
